Car_Number,Arrive,Depart,Wait,Direction
594,11120,11160,40,W
595,11174,11174,0,E
596,11175,11176,1,W
600,11242,11280,38,E
598,11230,11280,50,W
602,11285,11286,1,W
603,11310,11310,0,E
606,11378,11400,22,E
604,11340,11400,60,W
608,11395,11402,7,W
609,11446,11446,0,E
610,11450,11450,0,W
613,11514,11520,6,E
612,11505,11520,15,W
616,11560,11560,0,W
617,11582,11640,58,E
618,11615,11640,25,W
619,11650,11650,0,E
622,11670,11670,0,W
623,11718,11760,42,E
624,11725,11760,35,W
626,11780,11780,0,W
627,11786,11786,0,E
631,11854,11880,26,E
629,11835,11880,45,W
632,11890,11890,0,W
633,11922,11922,0,E
637,11990,12000,10,E
635,11945,12000,55,W
638,12000,12002,2,W
640,12055,12056,1,W
641,12058,12058,0,E
643,12110,12120,10,W
645,12126,12126,0,E
646,12165,12166,1,W
647,12194,12240,46,E
649,12220,12240,20,W
651,12262,12262,0,E
652,12275,12276,1,W
654,12330,12360,30,E
655,12330,12360,30,W
656,12385,12386,1,W
659,12398,12398,0,E
661,12466,12480,14,E
660,12440,12480,40,W
663,12495,12496,1,W
665,12534,12534,0,E
666,12550,12600,50,W
668,12602,12602,0,E
669,12605,12606,1,W
671,12670,12720,50,E
670,12660,12720,60,W
674,12715,12722,7,W
675,12738,12738,0,E
677,12770,12770,0,W
678,12806,12840,34,E
680,12825,12840,15,W
682,12874,12874,0,E
683,12880,12880,0,W
685,12942,12960,18,E
684,12935,12960,25,W
688,12990,12990,0,W
689,13010,13010,0,E
692,13078,13080,2,E
690,13045,13080,35,W
693,13100,13100,0,W
696,13146,13200,54,E
697,13155,13200,45,W
698,13210,13210,0,W
699,13214,13214,0,E
703,13282,13320,38,E
702,13265,13320,55,W
704,13320,13322,2,W
706,13350,13350,0,E
707,13375,13376,1,W
709,13418,13440,22,E
711,13430,13440,10,W
713,13486,13486,0,E
712,13485,13486,1,W
717,13554,13560,6,E
715,13540,13560,20,W
718,13595,13596,1,W
720,13622,13680,58,E
721,13650,13680,30,W
723,13690,13690,0,E
725,13705,13706,1,W
726,13758,13800,42,E
727,13760,13800,40,W
729,13815,13816,1,W
730,13826,13826,0,E
734,13894,13920,26,E
732,13870,13920,50,W
735,13925,13926,1,W
736,13962,13962,0,E
740,14030,14040,10,E
739,13980,14040,60,W
741,14035,14042,7,W
743,14090,14090,0,W
744,14098,14098,0,E
746,14145,14160,15,W
748,14166,14166,0,E
749,14200,14200,0,W
750,14234,14280,46,E
751,14255,14280,25,W
754,14302,14302,0,E
755,14310,14310,0,W
758,14370,14400,30,E
757,14365,14400,35,W
760,14420,14420,0,W
761,14438,14438,0,E
763,14452,14452,0,W
764,14477,14520,43,E
765,14484,14520,36,W
768,14516,14522,6,E
769,14516,14522,6,W
770,14548,14548,0,W
772,14555,14556,1,E
775,14594,14640,46,E
774,14580,14640,60,W
778,14633,14642,9,E
777,14612,14642,30,W
779,14644,14644,0,W
782,14672,14672,0,E
783,14676,14676,0,W
785,14711,14760,49,E
784,14708,14760,52,W
789,14750,14762,12,E
788,14740,14762,22,W
791,14772,14772,0,W
792,14789,14790,1,E
793,14804,14804,0,W
796,14828,14880,52,E
797,14836,14880,44,W
798,14867,14882,15,E
799,14868,14882,14,W
801,14900,14900,0,W
803,14906,14906,0,E
805,14932,14932,0,W
806,14945,15000,55,E
807,14964,15000,36,W
809,14984,15002,18,E
811,14996,15002,6,W
812,15023,15024,1,E
813,15028,15028,0,W
816,15062,15120,58,E
815,15060,15120,60,W
820,15101,15122,21,E
819,15092,15122,30,W
821,15124,15124,0,W
822,15140,15140,0,E
825,15156,15156,0,W
826,15179,15240,61,E
827,15188,15240,52,W
829,15218,15242,24,E
830,15220,15242,22,W
832,15252,15252,0,W
834,15257,15258,1,E
835,15284,15284,0,W
836,15296,15296,0,E
840,15335,15360,25,E
838,15316,15360,44,W
841,15348,15362,14,W
843,15374,15374,0,E
844,15380,15380,0,W
846,15412,15412,0,W
847,15413,15414,1,E
850,15452,15480,28,E
849,15444,15480,36,W
852,15476,15482,6,W
854,15491,15492,1,E
855,15508,15508,0,W
857,15530,15530,0,E
860,15569,15600,31,E
858,15540,15600,60,W
861,15572,15602,30,W
863,15604,15604,0,W
864,15608,15608,0,E
866,15636,15636,0,W
867,15647,15648,1,E
871,15686,15720,34,E
869,15668,15720,52,W
872,15700,15722,22,W
873,15725,15726,1,E
874,15732,15732,0,W
877,15764,15764,0,E
878,15764,15764,0,W
881,15803,15840,37,E
880,15796,15840,44,W
884,15842,15842,0,E
883,15828,15842,14,W
886,15860,15860,0,W
887,15881,15882,1,E
888,15892,15892,0,W
891,15920,15960,40,E
892,15924,15960,36,W
895,15959,15962,3,E
894,15956,15962,6,W
897,15988,15988,0,W
898,15998,15998,0,E
901,16037,16080,43,E
900,16020,16080,60,W
905,16076,16082,6,E
902,16052,16082,30,W
906,16084,16084,0,W
907,16115,16116,1,E
908,16116,16116,0,W
912,16154,16200,46,E
910,16148,16200,52,W
915,16193,16202,9,E
914,16180,16202,22,W
916,16212,16212,0,W
919,16232,16232,0,E
920,16244,16244,0,W
921,16271,16320,49,E
922,16276,16320,44,W
925,16310,16322,12,E
924,16308,16322,14,W
928,16340,16340,0,W
929,16349,16350,1,E
930,16372,16372,0,W
932,16388,16440,52,E
934,16404,16440,36,W
935,16427,16442,15,E
936,16436,16442,6,W
938,16466,16466,0,E
939,16468,16468,0,W
943,16505,16560,55,E
942,16500,16560,60,W
945,16544,16562,18,E
944,16532,16562,30,W
948,16564,16564,0,W
949,16583,16584,1,E
950,16596,16596,0,W
952,16622,16680,58,E
953,16628,16680,52,W
957,16661,16682,21,E
956,16660,16682,22,W
958,16692,16692,0,W
959,16700,16700,0,E
961,16724,16724,0,W
963,16739,16800,61,E
964,16756,16800,44,W
966,16778,16802,24,E
967,16788,16802,14,W
969,16817,16818,1,E
971,16820,16820,0,W
972,16852,16852,0,W
973,16856,16856,0,E
976,16895,16920,25,E
975,16884,16920,36,W
978,16916,16922,6,W
980,16934,16934,0,E
981,16948,16948,0,W
982,16973,16974,1,E
986,17012,17040,28,E
984,16980,17040,60,W
987,17012,17042,30,W
989,17044,17044,0,W
990,17051,17052,1,E
992,17076,17076,0,W
994,17090,17090,0,E
996,17129,17160,31,E
995,17108,17160,52,W
997,17140,17162,22,W
1000,17168,17168,0,E
1001,17172,17172,0,W
1003,17204,17204,0,W
1004,17207,17208,1,E
1007,17246,17280,34,E
1006,17236,17280,44,W
1009,17268,17282,14,W
1010,17285,17286,1,E
1011,17300,17300,0,W
1014,17324,17324,0,E
1015,17332,17332,0,W
1017,17363,17400,37,E
1018,17364,17400,36,W
1021,17402,17402,0,E
1020,17396,17402,6,W
1023,17428,17428,0,W
1024,17441,17442,1,E
1028,17480,17520,40,E
1025,17460,17520,60,W
1030,17519,17522,3,E
1029,17492,17522,30,W
1032,17524,17524,0,W
1033,17556,17556,0,W
1034,17558,17558,0,E
1038,17597,17640,43,E
1037,17588,17640,52,W
1041,17636,17642,6,E
1039,17620,17642,22,W
1043,17652,17652,0,W
1044,17675,17676,1,E
1046,17684,17684,0,W
1047,17714,17760,46,E
1048,17716,17760,44,W
1052,17753,17762,9,E
1051,17748,17762,14,W
1053,17780,17780,0,W
1055,17792,17792,0,E
1057,17812,17812,0,W
1058,17831,17880,49,E
1059,17844,17880,36,W
1061,17870,17882,12,E
1062,17876,17882,6,W
1065,17908,17908,0,W
1066,17909,17910,1,E
1068,17948,18000,52,E
1067,17940,18000,60,W
1072,17987,18002,15,E
1070,17972,18002,30,W
1073,18004,18004,0,W
1075,18018,18018,0,W
1076,18026,18026,0,E
1078,18032,18032,0,W
1079,18043,18044,1,E
1080,18046,18046,0,W
1083,18060,18120,60,E
1084,18060,18120,60,W
1087,18077,18122,45,E
1085,18074,18122,48,W
1090,18094,18124,30,E
1088,18088,18124,36,W
1093,18111,18126,15,E
1092,18102,18126,24,W
1096,18128,18128,0,E
1094,18116,18128,12,W
1098,18130,18130,0,W
1099,18144,18144,0,W
1101,18145,18146,1,E
1102,18158,18158,0,W
1103,18162,18162,0,E
1106,18172,18172,0,W
1107,18179,18240,61,E
1108,18186,18240,54,W
1110,18196,18242,46,E
1111,18200,18242,42,W
1113,18213,18244,31,E
1115,18214,18244,30,W
1117,18230,18246,16,E
1116,18228,18246,18,W
1121,18247,18248,1,E
1120,18242,18248,6,W
1122,18256,18256,0,W
1124,18264,18264,0,E
1125,18270,18270,0,W
1127,18281,18282,1,E
1129,18284,18284,0,W
1130,18298,18298,0,E
1131,18298,18298,0,W
1135,18315,18360,45,E
1134,18312,18360,48,W
1138,18332,18362,30,E
1136,18326,18362,36,W
1141,18349,18364,15,E
1139,18340,18364,24,W
1144,18366,18366,0,E
1143,18354,18366,12,W
1145,18368,18368,0,W
1148,18382,18382,0,W
1149,18383,18384,1,E
1150,18396,18396,0,W
1152,18400,18400,0,E
1153,18410,18410,0,W
1154,18417,18418,1,E
1158,18434,18480,46,E
1157,18424,18480,56,W
1161,18451,18482,31,E
1159,18438,18482,44,W
1166,18468,18484,16,E
1162,18452,18484,32,W
1168,18485,18486,1,E
1164,18466,18486,20,W
1167,18480,18488,8,W
1171,18494,18494,0,W
1172,18502,18502,0,E
1173,18508,18508,0,W
1175,18519,18520,1,E
1176,18522,18522,0,W
1179,18536,18536,0,E
1180,18536,18536,0,W
1182,18553,18600,47,E
1181,18550,18600,50,W
1186,18570,18602,32,E
1185,18564,18602,38,W
1189,18587,18604,17,E
1187,18578,18604,26,W
1192,18604,18606,2,E
1190,18592,18606,14,W
1194,18606,18608,2,W
1195,18620,18620,0,W
1196,18621,18622,1,E
1199,18634,18634,0,W
1200,18638,18638,0,E
1201,18648,18648,0,W
1203,18655,18656,1,E
1206,18672,18720,48,E
1204,18662,18720,58,W
1209,18689,18722,33,E
1208,18676,18722,46,W
1214,18706,18724,18,E
1210,18690,18724,34,W
1217,18723,18726,3,E
1212,18704,18726,22,W
1215,18718,18728,10,W
1218,18732,18732,0,W
1219,18740,18740,0,E
1222,18746,18746,0,W
1223,18757,18758,1,E
1224,18760,18760,0,W
1226,18774,18774,0,E
1227,18774,18774,0,W
1231,18791,18840,49,E
1229,18788,18840,52,W
1233,18808,18842,34,E
1232,18802,18842,40,W
1237,18825,18844,19,E
1236,18816,18844,28,W
1240,18842,18846,4,E
1238,18830,18846,16,W
1241,18844,18848,4,W
1244,18858,18858,0,W
1245,18859,18860,1,E
